dA,dB,x,y
dA: 407.32  dB: 13.73  -> X: 5531.64 cm, Y: 0.00 cm
dA: 412.22  dB: 14.76  -> X: 5664.34 cm, Y: 0.00 cm
dA: 16.01  dB: 17.42  -> X: 5.93 cm, Y: 0.00 cm
dA: 20.60  dB: 22.14  -> X: 5.30 cm, Y: 0.00 cm
dA: 25.17  dB: 25.43  -> X: 7.07 cm, Y: 0.00 cm
dA: 28.78  dB: 32.89  -> X: -0.96 cm, Y: 0.00 cm
dA: 34.11  dB: 31.83  -> X: 12.51 cm, Y: 0.00 cm
dA: 34.64  dB: 29.17  -> X: 19.14 cm, Y: 0.00 cm
dA: 25.14  dB: 30.26  -> X: -1.95 cm, Y: 0.00 cm
dA: 36.66  dB: 29.21  -> X: 23.86 cm, Y: 0.00 cm
dA: 86.26  dB: 32.64  -> X: 220.04 cm, Y: 0.00 cm
dA: 77.08  dB: 31.60  -> X: 172.27 cm, Y: 0.00 cm
dA: 71.93  dB: 80.23  -> X: -34.63 cm, Y: 30.81 cm
dA: 70.07  dB: 37.36  -> X: 124.63 cm, Y: 0.00 cm
dA: 68.46  dB: 74.09  -> X: -19.23 cm, Y: 35.95 cm
dA: 66.84  dB: 58.77  -> X: 41.27 cm, Y: 0.00 cm
dA: 61.92  dB: 55.17  -> X: 33.85 cm, Y: 0.00 cm
dA: 60.61  dB: 56.14  -> X: 24.92 cm, Y: 5.29 cm
dA: 58.66  dB: 56.79  -> X: 14.69 cm, Y: 14.14 cm
dA: 56.57  dB: 56.32  -> X: 8.45 cm, Y: 10.20 cm
dA: 56.38  dB: 55.11  -> X: 12.20 cm, Y: 2.17 cm
dA: 59.09  dB: 54.84  -> X: 23.63 cm, Y: 0.00 cm
dA: 57.72  dB: 54.87  -> X: 18.18 cm, Y: 0.00 cm
dA: 57.33  dB: 54.71  -> X: 17.30 cm, Y: 0.00 cm
dA: 55.60  dB: 53.12  -> X: 16.49 cm, Y: 0.00 cm
dA: 58.66  dB: 53.41  -> X: 27.13 cm, Y: 0.00 cm
dA: 59.19  dB: 53.40  -> X: 29.23 cm, Y: 0.00 cm
dA: 61.70  dB: 53.41  -> X: 39.33 cm, Y: 0.00 cm
dA: 60.89  dB: 53.41  -> X: 36.03 cm, Y: 0.00 cm
dA: 60.95  dB: 53.41  -> X: 36.24 cm, Y: 0.00 cm
dA: 58.65  dB: 53.42  -> X: 27.06 cm, Y: 0.00 cm
dA: 58.19  dB: 53.41  -> X: 25.30 cm, Y: 0.00 cm
dA: 57.77  dB: 53.40  -> X: 23.71 cm, Y: 0.00 cm
dA: 58.88  dB: 53.46  -> X: 27.77 cm, Y: 0.00 cm
dA: 56.02  dB: 53.69  -> X: 16.03 cm, Y: 0.00 cm
dA: 59.43  dB: 53.74  -> X: 28.96 cm, Y: 0.00 cm
dA: 56.16  dB: 54.09  -> X: 15.11 cm, Y: 0.00 cm
dA: 56.50  dB: 54.35  -> X: 15.44 cm, Y: 0.00 cm
dA: 56.02  dB: 53.71  -> X: 15.95 cm, Y: 0.00 cm
dA: 55.55  dB: 53.35  -> X: 15.49 cm, Y: 0.00 cm
dA: 55.12  dB: 53.23  -> X: 14.33 cm, Y: 0.00 cm
dA: 58.53  dB: 53.23  -> X: 27.22 cm, Y: 0.00 cm
dA: 58.70  dB: 53.47  -> X: 27.06 cm, Y: 0.00 cm
dA: 55.98  dB: 52.90  -> X: 18.66 cm, Y: 0.00 cm
dA: 55.28  dB: 53.39  -> X: 14.33 cm, Y: 0.00 cm
dA: 56.17  dB: 53.39  -> X: 17.65 cm, Y: 0.00 cm
dA: 56.96  dB: 53.69  -> X: 19.58 cm, Y: 0.00 cm
dA: 56.83  dB: 53.41  -> X: 20.08 cm, Y: 0.00 cm
dA: 56.30  dB: 53.37  -> X: 18.22 cm, Y: 0.00 cm
dA: 58.24  dB: 53.41  -> X: 25.50 cm, Y: 0.00 cm
dA: 58.80  dB: 52.89  -> X: 29.51 cm, Y: 0.00 cm
dA: 3.20  dB: 53.59  -> X: -87.90 cm, Y: 0.00 cm
dA: 2.45  dB: 53.46  -> X: -87.55 cm, Y: 0.00 cm
dA: 2.10  dB: 53.75  -> X: -88.65 cm, Y: 0.00 cm
dA: 1.99  dB: 53.46  -> X: -87.62 cm, Y: 0.00 cm
dA: 1.81  dB: 53.59  -> X: -88.11 cm, Y: 0.00 cm
dA: 2.10  dB: 53.39  -> X: -87.38 cm, Y: 0.00 cm
dA: 2.10  dB: 53.35  -> X: -87.22 cm, Y: 0.00 cm
dA: 1.97  dB: 53.41  -> X: -87.44 cm, Y: 0.00 cm
dA: 25.38  dB: 53.40  -> X: -66.07 cm, Y: 0.00 cm
dA: 59.70  dB: 53.40  -> X: 31.27 cm, Y: 0.00 cm
dA: 61.73  dB: 52.88  -> X: 41.31 cm, Y: 0.00 cm
dA: 58.57  dB: 53.18  -> X: 27.58 cm, Y: 0.00 cm
dA: 59.90  dB: 52.66  -> X: 34.68 cm, Y: 0.00 cm
dA: 60.04  dB: 54.40  -> X: 29.02 cm, Y: 0.00 cm
dA: 50.67  dB: 54.30  -> X: -5.18 cm, Y: 0.00 cm
dA: 54.78  dB: 47.02  -> X: 33.84 cm, Y: 0.00 cm
dA: 52.69  dB: 47.42  -> X: 25.09 cm, Y: 0.00 cm
dA: 52.00  dB: 64.64  -> X: -41.64 cm, Y: 0.00 cm
dA: 50.61  dB: 54.38  -> X: -5.70 cm, Y: 0.00 cm
dA: 49.59  dB: 53.34  -> X: -5.35 cm, Y: 0.00 cm
dA: 47.92  dB: 58.12  -> X: -28.55 cm, Y: 0.00 cm
dA: 50.55  dB: 55.54  -> X: -10.15 cm, Y: 0.00 cm
dA: 47.00  dB: 64.50  -> X: -57.51 cm, Y: 0.00 cm
dA: 47.32  dB: 64.23  -> X: -55.37 cm, Y: 0.00 cm
dA: 47.65  dB: 62.03  -> X: -45.04 cm, Y: 0.00 cm
dA: 54.29  dB: 61.87  -> X: -21.85 cm, Y: 0.00 cm
dA: 53.46  dB: 64.46  -> X: -35.73 cm, Y: 0.00 cm
dA: 54.19  dB: 61.46  -> X: -20.53 cm, Y: 0.00 cm
dA: 54.63  dB: 62.63  -> X: -23.78 cm, Y: 0.00 cm
dA: 54.15  dB: 61.36  -> X: -20.28 cm, Y: 0.00 cm
dA: 54.33  dB: 59.46  -> X: -11.99 cm, Y: 0.00 cm
dA: 53.29  dB: 60.51  -> X: -19.89 cm, Y: 0.00 cm
dA: 56.89  dB: 60.75  -> X: -7.65 cm, Y: 12.35 cm
dA: 54.26  dB: 60.05  -> X: -14.54 cm, Y: 0.00 cm
dA: 54.37  dB: 57.88  -> X: -5.65 cm, Y: 0.00 cm
