dA,dB,x,y
dA: 8.91  dB: 15.40  -> X: 2.24 cm, Y: 0.00 cm
dA: 8.87  dB: 15.44  -> X: 2.18 cm, Y: 0.00 cm
dA: 8.84  dB: 15.43  -> X: 2.17 cm, Y: 0.00 cm
dA: 8.87  dB: 15.40  -> X: 2.22 cm, Y: 0.00 cm
dA: 8.85  dB: 15.44  -> X: 2.17 cm, Y: 0.00 cm
dA: 9.72  dB: 15.38  -> X: 2.76 cm, Y: 0.00 cm
dA: 8.87  dB: 15.39  -> X: 2.23 cm, Y: 0.00 cm
dA: 7.39  dB: 15.43  -> X: 1.39 cm, Y: 0.00 cm
dA: 7.95  dB: 14.12  -> X: 2.96 cm, Y: 0.00 cm
dA: 8.74  dB: 16.19  -> X: 1.31 cm, Y: 0.00 cm
dA: 8.57  dB: 16.98  -> X: 0.34 cm, Y: 0.00 cm
dA: 10.90  dB: 15.29  -> X: 3.67 cm, Y: 0.00 cm
dA: 407.36  dB: 22.70  -> X: 5521.69 cm, Y: 0.00 cm
dA: 11.69  dB: 118.52  -> X: -456.21 cm, Y: 0.00 cm
dA: 13.28  dB: 25.67  -> X: -8.58 cm, Y: 0.00 cm
dA: 16.58  dB: 32.50  -> X: -18.55 cm, Y: 0.00 cm
dA: 21.60  dB: 26.85  -> X: -0.98 cm, Y: 0.00 cm
dA: 25.42  dB: 29.60  -> X: -0.15 cm, Y: 0.00 cm
dA: 30.53  dB: 34.72  -> X: -1.60 cm, Y: 0.00 cm
dA: 35.46  dB: 42.43  -> X: -10.61 cm, Y: 0.00 cm
dA: 5.92  dB: 27.09  -> X: -15.80 cm, Y: 0.00 cm
dA: 3.10  dB: 4.25  -> X: 7.22 cm, Y: 0.00 cm
dA: 3.32  dB: 3.80  -> X: 7.39 cm, Y: 0.00 cm
dA: 42.93  dB: 285.75  -> X: -2652.78 cm, Y: 0.00 cm
dA: 48.20  dB: 1194.56  -> X: -47480.87 cm, Y: 0.00 cm
dA: 442.97  dB: 1194.51  -> X: -41013.38 cm, Y: 0.00 cm
dA: 35.03  dB: 1194.55  -> X: -47516.50 cm, Y: 0.00 cm
dA: 66.35  dB: 1194.66  -> X: -47419.30 cm, Y: 0.00 cm
dA: 64.51  dB: 4.45  -> X: 145.55 cm, Y: 0.00 cm
dA: 64.09  dB: 819.03  -> X: -22216.06 cm, Y: 0.00 cm
dA: 64.16  dB: 69.30  -> X: -15.36 cm, Y: 29.26 cm
dA: 64.17  dB: 65.19  -> X: 3.11 cm, Y: 32.91 cm
dA: 64.41  dB: 64.83  -> X: 5.70 cm, Y: 33.03 cm
dA: 64.31  dB: 64.62  -> X: 6.15 cm, Y: 32.75 cm
dA: 64.03  dB: 64.19  -> X: 6.82 cm, Y: 32.07 cm
dA: 64.06  dB: 64.61  -> X: 5.12 cm, Y: 32.43 cm
dA: 64.03  dB: 64.34  -> X: 6.15 cm, Y: 32.20 cm
dA: 64.03  dB: 64.34  -> X: 6.20 cm, Y: 32.20 cm
dA: 64.02  dB: 64.62  -> X: 4.95 cm, Y: 32.39 cm
dA: 64.01  dB: 64.44  -> X: 5.66 cm, Y: 32.25 cm
dA: 63.88  dB: 64.48  -> X: 4.93 cm, Y: 32.11 cm
dA: 63.73  dB: 64.20  -> X: 5.50 cm, Y: 31.72 cm
dA: 63.72  dB: 64.34  -> X: 4.89 cm, Y: 31.81 cm
dA: 62.46  dB: 63.92  -> X: 1.33 cm, Y: 29.57 cm
dA: 62.36  dB: 63.92  -> X: 0.95 cm, Y: 29.38 cm
dA: 62.39  dB: 64.19  -> X: -0.10 cm, Y: 29.46 cm
dA: 62.52  dB: 64.19  -> X: 0.43 cm, Y: 29.72 cm
dA: 63.44  dB: 64.20  -> X: 4.24 cm, Y: 31.33 cm
dA: 63.61  dB: 64.47  -> X: 3.84 cm, Y: 31.72 cm
dA: 64.03  dB: 64.35  -> X: 6.11 cm, Y: 32.20 cm
dA: 64.30  dB: 60.83  -> X: 21.97 cm, Y: 25.02 cm
dA: 63.86  dB: 64.08  -> X: 6.57 cm, Y: 31.78 cm
dA: 63.71  dB: 64.07  -> X: 5.97 cm, Y: 31.60 cm
dA: 63.85  dB: 64.62  -> X: 4.20 cm, Y: 32.16 cm
dA: 63.89  dB: 64.48  -> X: 4.96 cm, Y: 32.13 cm
dA: 64.03  dB: 64.76  -> X: 4.38 cm, Y: 32.50 cm
dA: 64.03  dB: 64.16  -> X: 6.94 cm, Y: 32.05 cm
dA: 64.55  dB: 63.91  -> X: 10.24 cm, Y: 32.20 cm
dA: 63.88  dB: 63.92  -> X: 7.33 cm, Y: 31.66 cm
dA: 64.15  dB: 64.07  -> X: 7.84 cm, Y: 32.07 cm
dA: 64.02  dB: 64.20  -> X: 6.74 cm, Y: 32.07 cm
dA: 60.21  dB: 64.06  -> X: -8.41 cm, Y: 23.02 cm
dA: 63.89  dB: 64.29  -> X: 5.79 cm, Y: 31.99 cm
dA: 64.18  dB: 64.02  -> X: 8.16 cm, Y: 32.05 cm
dA: 63.89  dB: 63.86  -> X: 7.62 cm, Y: 31.60 cm
dA: 63.59  dB: 63.78  -> X: 6.70 cm, Y: 31.21 cm
dA: 63.59  dB: 63.91  -> X: 6.14 cm, Y: 31.33 cm
dA: 63.64  dB: 64.05  -> X: 5.77 cm, Y: 31.50 cm
dA: 63.68  dB: 64.25  -> X: 5.06 cm, Y: 31.69 cm
dA: 63.64  dB: 64.30  -> X: 4.70 cm, Y: 31.67 cm
